DateTime,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2019-03-15 20:00:00,2019-03-15 20:00,2019,3,15,20:00,-4.5,,-10.5,,63.0,,33.0,,16.0,,,,99.16,,,,-10.0,,
2019-03-15 21:00:00,2019-03-15 21:00,2019,3,15,21:00,-4.9,,-10.3,,66.0,,36.0,,9.0,,,,99.24,,,,-9.0,,
2019-03-15 22:00:00,2019-03-15 22:00,2019,3,15,22:00,-6.0,,-11.6,,64.0,,34.0,,25.0,,,,99.33,,,,-14.0,,
2019-03-15 23:00:00,2019-03-15 23:00,2019,3,15,23:00,-6.8,,-12.8,,62.0,,34.0,,19.0,,,,99.42,,,,-14.0,,
2019-03-16 00:00:00,2019-03-16 00:00,2019,3,16,00:00,-7.4,,-12.8,,65.0,,33.0,,14.0,,,,99.47,,,,-13.0,,
2019-03-16 01:00:00,2019-03-16 01:00,2019,3,16,01:00,-7.8,,-12.8,,67.0,,31.0,,12.0,,,,99.51,,,,-13.0,,
2019-03-16 02:00:00,2019-03-16 02:00,2019,3,16,02:00,-7.7,,-12.4,,69.0,,28.0,,10.0,,,,99.55,,,,-13.0,,
2019-03-16 03:00:00,2019-03-16 03:00,2019,3,16,03:00,-7.9,,-12.7,,68.0,,31.0,,15.0,,,,99.6,,,,-14.0,,
2019-03-16 04:00:00,2019-03-16 04:00,2019,3,16,04:00,-8.9,,-12.9,,73.0,,27.0,,8.0,,,,99.64,,,,-13.0,,
2019-03-16 05:00:00,2019-03-16 05:00,2019,3,16,05:00,-8.5,,-12.2,,75.0,,28.0,,8.0,,,,99.69,,,,-13.0,,
2019-03-16 06:00:00,2019-03-16 06:00,2019,3,16,06:00,-8.8,,-12.9,,72.0,,30.0,,9.0,,,,99.78,,,,-13.0,,
2019-03-16 07:00:00,2019-03-16 07:00,2019,3,16,07:00,-8.9,,-13.4,,70.0,,30.0,,12.0,,,,99.84,,,,-15.0,,
2019-03-16 08:00:00,2019-03-16 08:00,2019,3,16,08:00,,,,,,,,,,,,,,,,,,,
2019-03-16 09:00:00,2019-03-16 09:00,2019,3,16,09:00,,,,,,,,,,,,,,,,,,,
2019-03-16 10:00:00,2019-03-16 10:00,2019,3,16,10:00,,,,,,,,,,,,,,,,,,,
2019-03-16 11:00:00,2019-03-16 11:00,2019,3,16,11:00,,,,,,,,,,,,,,,,,,,
2019-03-16 12:00:00,2019-03-16 12:00,2019,3,16,12:00,,,,,,,,,,,,,,,,,,,
2019-03-16 13:00:00,2019-03-16 13:00,2019,3,16,13:00,,,,,,,,,,,,,,,,,,,
2019-03-16 14:00:00,2019-03-16 14:00,2019,3,16,14:00,,,,,,,,,,,,,,,,,,,
2019-03-16 15:00:00,2019-03-16 15:00,2019,3,16,15:00,,,,,,,,,,,,,,,,,,,
2019-03-16 16:00:00,2019-03-16 16:00,2019,3,16,16:00,,,,,,,,,,,,,,,,,,,
2019-03-16 17:00:00,2019-03-16 17:00,2019,3,16,17:00,,,,,,,,,,,,,,,,,,,
2019-03-16 18:00:00,2019-03-16 18:00,2019,3,16,18:00,,,,,,,,,,,,,,,,,,,
2019-03-16 19:00:00,2019-03-16 19:00,2019,3,16,19:00,,,,,,,,,,,,,,,,,,,
2019-03-16 20:00:00,2019-03-16 20:00,2019,3,16,20:00,,,,,,,,,,,,,,,,,,,
2019-03-16 21:00:00,2019-03-16 21:00,2019,3,16,21:00,,,,,,,,,,,,,,,,,,,
2019-03-16 22:00:00,2019-03-16 22:00,2019,3,16,22:00,,,,,,,,,,,,,,,,,,,
2019-03-16 23:00:00,2019-03-16 23:00,2019,3,16,23:00,,,,,,,,,,,,,,,,,,,
2019-03-17 00:00:00,2019-03-17 00:00,2019,3,17,00:00,,,,,,,,,,,,,,,,,,,
2019-03-17 01:00:00,2019-03-17 01:00,2019,3,17,01:00,,,,,,,,,,,,,,,,,,,
2019-03-17 02:00:00,2019-03-17 02:00,2019,3,17,02:00,,,,,,,,,,,,,,,,,,,
2019-03-17 03:00:00,2019-03-17 03:00,2019,3,17,03:00,,,,,,,,,,,,,,,,,,,
2019-03-17 04:00:00,2019-03-17 04:00,2019,3,17,04:00,,,,,,,,,,,,,,,,,,,
2019-03-17 05:00:00,2019-03-17 05:00,2019,3,17,05:00,,,,,,,,,,,,,,,,,,,
2019-03-17 06:00:00,2019-03-17 06:00,2019,3,17,06:00,,,,,,,,,,,,,,,,,,,
2019-03-17 07:00:00,2019-03-17 07:00,2019,3,17,07:00,,,,,,,,,,,,,,,,,,,
2019-03-17 08:00:00,2019-03-17 08:00,2019,3,17,08:00,,,,,,,,,,,,,,,,,,,
2019-03-17 09:00:00,2019-03-17 09:00,2019,3,17,09:00,,,,,,,,,,,,,,,,,,,
2019-03-17 10:00:00,2019-03-17 10:00,2019,3,17,10:00,,,,,,,,,,,,,,,,,,,
2019-03-17 11:00:00,2019-03-17 11:00,2019,3,17,11:00,,,,,,,,,,,,,,,,,,,
2019-03-17 12:00:00,2019-03-17 12:00,2019,3,17,12:00,,,,,,,,,,,,,,,,,,,
2019-03-17 13:00:00,2019-03-17 13:00,2019,3,17,13:00,,,,,,,,,,,,,,,,,,,
2019-03-17 14:00:00,2019-03-17 14:00,2019,3,17,14:00,,,,,,,,,,,,,,,,,,,
2019-03-17 15:00:00,2019-03-17 15:00,2019,3,17,15:00,,,,,,,,,,,,,,,,,,,
2019-03-17 16:00:00,2019-03-17 16:00,2019,3,17,16:00,,,,,,,,,,,,,,,,,,,
2019-03-17 17:00:00,2019-03-17 17:00,2019,3,17,17:00,,,,,,,,,,,,,,,,,,,
2019-03-17 18:00:00,2019-03-17 18:00,2019,3,17,18:00,,,,,,,,,,,,,,,,,,,
2019-03-17 19:00:00,2019-03-17 19:00,2019,3,17,19:00,,,,,,,,,,,,,,,,,,,
2019-03-17 20:00:00,2019-03-17 20:00,2019,3,17,20:00,,,,,,,,,,,,,,,,,,,
2019-03-17 21:00:00,2019-03-17 21:00,2019,3,17,21:00,,,,,,,,,,,,,,,,,,,
2019-03-17 22:00:00,2019-03-17 22:00,2019,3,17,22:00,,,,,,,,,,,,,,,,,,,
2019-03-17 23:00:00,2019-03-17 23:00,2019,3,17,23:00,,,,,,,,,,,,,,,,,,,
2019-03-18 00:00:00,2019-03-18 00:00,2019,3,18,00:00,,,,,,,,,,,,,,,,,,,
2019-03-18 01:00:00,2019-03-18 01:00,2019,3,18,01:00,,,,,,,,,,,,,,,,,,,
2019-03-18 02:00:00,2019-03-18 02:00,2019,3,18,02:00,,,,,,,,,,,,,,,,,,,
2019-03-18 03:00:00,2019-03-18 03:00,2019,3,18,03:00,,,,,,,,,,,,,,,,,,,
2019-03-18 04:00:00,2019-03-18 04:00,2019,3,18,04:00,,,,,,,,,,,,,,,,,,,
2019-03-18 05:00:00,2019-03-18 05:00,2019,3,18,05:00,,,,,,,,,,,,,,,,,,,
2019-03-18 06:00:00,2019-03-18 06:00,2019,3,18,06:00,,,,,,,,,,,,,,,,,,,
2019-03-18 07:00:00,2019-03-18 07:00,2019,3,18,07:00,,,,,,,,,,,,,,,,,,,
2019-03-18 08:00:00,2019-03-18 08:00,2019,3,18,08:00,,,,,,,,,,,,,,,,,,,
2019-03-18 09:00:00,2019-03-18 09:00,2019,3,18,09:00,,,,,,,,,,,,,,,,,,,
2019-03-18 10:00:00,2019-03-18 10:00,2019,3,18,10:00,,,,,,,,,,,,,,,,,,,
2019-03-18 11:00:00,2019-03-18 11:00,2019,3,18,11:00,,,,,,,,,,,,,,,,,,,
2019-03-18 12:00:00,2019-03-18 12:00,2019,3,18,12:00,,,,,,,,,,,,,,,,,,,
2019-03-18 13:00:00,2019-03-18 13:00,2019,3,18,13:00,,,,,,,,,,,,,,,,,,,
2019-03-18 14:00:00,2019-03-18 14:00,2019,3,18,14:00,,,,,,,,,,,,,,,,,,,
2019-03-18 15:00:00,2019-03-18 15:00,2019,3,18,15:00,,,,,,,,,,,,,,,,,,,
2019-03-18 16:00:00,2019-03-18 16:00,2019,3,18,16:00,,,,,,,,,,,,,,,,,,,
2019-03-18 17:00:00,2019-03-18 17:00,2019,3,18,17:00,,,,,,,,,,,,,,,,,,,
2019-03-18 18:00:00,2019-03-18 18:00,2019,3,18,18:00,,,,,,,,,,,,,,,,,,,
2019-03-18 19:00:00,2019-03-18 19:00,2019,3,18,19:00,,,,,,,,,,,,,,,,,,,
2019-03-18 20:00:00,2019-03-18 20:00,2019,3,18,20:00,,,,,,,,,,,,,,,,,,,
2019-03-18 21:00:00,2019-03-18 21:00,2019,3,18,21:00,,,,,,,,,,,,,,,,,,,
2019-03-18 22:00:00,2019-03-18 22:00,2019,3,18,22:00,,,,,,,,,,,,,,,,,,,
2019-03-18 23:00:00,2019-03-18 23:00,2019,3,18,23:00,,,,,,,,,,,,,,,,,,,
2019-03-19 00:00:00,2019-03-19 00:00,2019,3,19,00:00,,,,,,,,,,,,,,,,,,,
2019-03-19 01:00:00,2019-03-19 01:00,2019,3,19,01:00,,,,,,,,,,,,,,,,,,,
2019-03-19 02:00:00,2019-03-19 02:00,2019,3,19,02:00,,,,,,,,,,,,,,,,,,,
2019-03-19 03:00:00,2019-03-19 03:00,2019,3,19,03:00,,,,,,,,,,,,,,,,,,,
2019-03-19 04:00:00,2019-03-19 04:00,2019,3,19,04:00,,,,,,,,,,,,,,,,,,,
2019-03-19 05:00:00,2019-03-19 05:00,2019,3,19,05:00,,,,,,,,,,,,,,,,,,,
2019-03-19 06:00:00,2019-03-19 06:00,2019,3,19,06:00,,,,,,,,,,,,,,,,,,,
2019-03-19 07:00:00,2019-03-19 07:00,2019,3,19,07:00,,,,,,,,,,,,,,,,,,,
2019-03-19 08:00:00,2019-03-19 08:00,2019,3,19,08:00,,,,,,,,,,,,,,,,,,,
2019-03-19 09:00:00,2019-03-19 09:00,2019,3,19,09:00,,,,,,,,,,,,,,,,,,,
2019-03-19 10:00:00,2019-03-19 10:00,2019,3,19,10:00,,,,,,,,,,,,,,,,,,,
2019-03-19 11:00:00,2019-03-19 11:00,2019,3,19,11:00,,,,,,,,,,,,,,,,,,,
2019-03-19 12:00:00,2019-03-19 12:00,2019,3,19,12:00,,,,,,,,,,,,,,,,,,,
2019-03-19 13:00:00,2019-03-19 13:00,2019,3,19,13:00,,,,,,,,,,,,,,,,,,,
2019-03-19 14:00:00,2019-03-19 14:00,2019,3,19,14:00,,,,,,,,,,,,,,,,,,,
2019-03-19 15:00:00,2019-03-19 15:00,2019,3,19,15:00,,,,,,,,,,,,,,,,,,,
2019-03-19 16:00:00,2019-03-19 16:00,2019,3,19,16:00,,,,,,,,,,,,,,,,,,,
2019-03-19 17:00:00,2019-03-19 17:00,2019,3,19,17:00,,,,,,,,,,,,,,,,,,,
2019-03-19 18:00:00,2019-03-19 18:00,2019,3,19,18:00,,,,,,,,,,,,,,,,,,,
2019-03-19 19:00:00,2019-03-19 19:00,2019,3,19,19:00,,,,,,,,,,,,,,,,,,,
2019-03-19 20:00:00,2019-03-19 20:00,2019,3,19,20:00,,,,,,,,,,,,,,,,,,,
2019-03-19 21:00:00,2019-03-19 21:00,2019,3,19,21:00,,,,,,,,,,,,,,,,,,,
2019-03-19 22:00:00,2019-03-19 22:00,2019,3,19,22:00,,,,,,,,,,,,,,,,,,,
2019-03-19 23:00:00,2019-03-19 23:00,2019,3,19,23:00,,,,,,,,,,,,,,,,,,,
2019-03-20 00:00:00,2019-03-20 00:00,2019,3,20,00:00,,,,,,,,,,,,,,,,,,,
2019-03-20 01:00:00,2019-03-20 01:00,2019,3,20,01:00,,,,,,,,,,,,,,,,,,,
2019-03-20 02:00:00,2019-03-20 02:00,2019,3,20,02:00,,,,,,,,,,,,,,,,,,,
2019-03-20 03:00:00,2019-03-20 03:00,2019,3,20,03:00,,,,,,,,,,,,,,,,,,,
2019-03-20 04:00:00,2019-03-20 04:00,2019,3,20,04:00,,,,,,,,,,,,,,,,,,,
2019-03-20 05:00:00,2019-03-20 05:00,2019,3,20,05:00,,,,,,,,,,,,,,,,,,,
2019-03-20 06:00:00,2019-03-20 06:00,2019,3,20,06:00,,,,,,,,,,,,,,,,,,,
2019-03-20 07:00:00,2019-03-20 07:00,2019,3,20,07:00,,,,,,,,,,,,,,,,,,,
2019-03-20 08:00:00,2019-03-20 08:00,2019,3,20,08:00,,,,,,,,,,,,,,,,,,,
2019-03-20 09:00:00,2019-03-20 09:00,2019,3,20,09:00,,,,,,,,,,,,,,,,,,,
2019-03-20 10:00:00,2019-03-20 10:00,2019,3,20,10:00,,,,,,,,,,,,,,,,,,,
2019-03-20 11:00:00,2019-03-20 11:00,2019,3,20,11:00,,,,,,,,,,,,,,,,,,,
2019-03-20 12:00:00,2019-03-20 12:00,2019,3,20,12:00,,,,,,,,,,,,,,,,,,,
2019-03-20 13:00:00,2019-03-20 13:00,2019,3,20,13:00,,,,,,,,,,,,,,,,,,,
2019-03-20 14:00:00,2019-03-20 14:00,2019,3,20,14:00,,,,,,,,,,,,,,,,,,,
2019-03-20 15:00:00,2019-03-20 15:00,2019,3,20,15:00,,,,,,,,,,,,,,,,,,,
2019-03-20 16:00:00,2019-03-20 16:00,2019,3,20,16:00,,,,,,,,,,,,,,,,,,,
2019-03-20 17:00:00,2019-03-20 17:00,2019,3,20,17:00,,,,,,,,,,,,,,,,,,,
2019-03-20 18:00:00,2019-03-20 18:00,2019,3,20,18:00,,,,,,,,,,,,,,,,,,,
2019-03-20 19:00:00,2019-03-20 19:00,2019,3,20,19:00,,,,,,,,,,,,,,,,,,,
2019-03-20 20:00:00,2019-03-20 20:00,2019,3,20,20:00,,,,,,,,,,,,,,,,,,,
2019-03-20 21:00:00,2019-03-20 21:00,2019,3,20,21:00,,,,,,,,,,,,,,,,,,,
2019-03-20 22:00:00,2019-03-20 22:00,2019,3,20,22:00,,,,,,,,,,,,,,,,,,,
2019-03-20 23:00:00,2019-03-20 23:00,2019,3,20,23:00,,,,,,,,,,,,,,,,,,,
2019-03-21 00:00:00,2019-03-21 00:00,2019,3,21,00:00,,,,,,,,,,,,,,,,,,,
2019-03-21 01:00:00,2019-03-21 01:00,2019,3,21,01:00,,,,,,,,,,,,,,,,,,,
2019-03-21 02:00:00,2019-03-21 02:00,2019,3,21,02:00,,,,,,,,,,,,,,,,,,,
2019-03-21 03:00:00,2019-03-21 03:00,2019,3,21,03:00,,,,,,,,,,,,,,,,,,,
2019-03-21 04:00:00,2019-03-21 04:00,2019,3,21,04:00,,,,,,,,,,,,,,,,,,,
2019-03-21 05:00:00,2019-03-21 05:00,2019,3,21,05:00,,,,,,,,,,,,,,,,,,,
2019-03-21 06:00:00,2019-03-21 06:00,2019,3,21,06:00,,,,,,,,,,,,,,,,,,,
2019-03-21 07:00:00,2019-03-21 07:00,2019,3,21,07:00,,,,,,,,,,,,,,,,,,,
2019-03-21 08:00:00,2019-03-21 08:00,2019,3,21,08:00,,,,,,,,,,,,,,,,,,,
2019-03-21 09:00:00,2019-03-21 09:00,2019,3,21,09:00,,,,,,,,,,,,,,,,,,,
2019-03-21 10:00:00,2019-03-21 10:00,2019,3,21,10:00,,,,,,,,,,,,,,,,,,,
2019-03-21 11:00:00,2019-03-21 11:00,2019,3,21,11:00,,,,,,,,,,,,,,,,,,,
2019-03-21 12:00:00,2019-03-21 12:00,2019,3,21,12:00,,,,,,,,,,,,,,,,,,,
2019-03-21 13:00:00,2019-03-21 13:00,2019,3,21,13:00,,,,,,,,,,,,,,,,,,,
2019-03-21 14:00:00,2019-03-21 14:00,2019,3,21,14:00,,,,,,,,,,,,,,,,,,,
2019-03-21 15:00:00,2019-03-21 15:00,2019,3,21,15:00,,,,,,,,,,,,,,,,,,,
2019-03-21 16:00:00,2019-03-21 16:00,2019,3,21,16:00,,,,,,,,,,,,,,,,,,,
2019-03-21 17:00:00,2019-03-21 17:00,2019,3,21,17:00,,,,,,,,,,,,,,,,,,,
2019-03-21 18:00:00,2019-03-21 18:00,2019,3,21,18:00,,,,,,,,,,,,,,,,,,,
2019-03-21 19:00:00,2019-03-21 19:00,2019,3,21,19:00,,,,,,,,,,,,,,,,,,,
2019-03-21 20:00:00,2019-03-21 20:00,2019,3,21,20:00,,,,,,,,,,,,,,,,,,,
2019-03-21 21:00:00,2019-03-21 21:00,2019,3,21,21:00,,,,,,,,,,,,,,,,,,,
2019-03-21 22:00:00,2019-03-21 22:00,2019,3,21,22:00,,,,,,,,,,,,,,,,,,,
2019-03-21 23:00:00,2019-03-21 23:00,2019,3,21,23:00,,,,,,,,,,,,,,,,,,,
2019-03-22 00:00:00,2019-03-22 00:00,2019,3,22,00:00,,,,,,,,,,,,,,,,,,,
2019-03-22 01:00:00,2019-03-22 01:00,2019,3,22,01:00,,,,,,,,,,,,,,,,,,,
2019-03-22 02:00:00,2019-03-22 02:00,2019,3,22,02:00,,,,,,,,,,,,,,,,,,,
2019-03-22 03:00:00,2019-03-22 03:00,2019,3,22,03:00,,,,,,,,,,,,,,,,,,,
2019-03-22 04:00:00,2019-03-22 04:00,2019,3,22,04:00,,,,,,,,,,,,,,,,,,,
2019-03-22 05:00:00,2019-03-22 05:00,2019,3,22,05:00,,,,,,,,,,,,,,,,,,,
2019-03-22 06:00:00,2019-03-22 06:00,2019,3,22,06:00,,,,,,,,,,,,,,,,,,,
2019-03-22 07:00:00,2019-03-22 07:00,2019,3,22,07:00,,,,,,,,,,,,,,,,,,,
2019-03-22 08:00:00,2019-03-22 08:00,2019,3,22,08:00,,,,,,,,,,,,,,,,,,,
2019-03-22 09:00:00,2019-03-22 09:00,2019,3,22,09:00,,,,,,,,,,,,,,,,,,,
2019-03-22 10:00:00,2019-03-22 10:00,2019,3,22,10:00,,,,,,,,,,,,,,,,,,,
2019-03-22 11:00:00,2019-03-22 11:00,2019,3,22,11:00,,,,,,,,,,,,,,,,,,,
2019-03-22 12:00:00,2019-03-22 12:00,2019,3,22,12:00,,,,,,,,,,,,,,,,,,,
2019-03-22 13:00:00,2019-03-22 13:00,2019,3,22,13:00,,,,,,,,,,,,,,,,,,,
2019-03-22 14:00:00,2019-03-22 14:00,2019,3,22,14:00,,,,,,,,,,,,,,,,,,,
2019-03-22 15:00:00,2019-03-22 15:00,2019,3,22,15:00,,,,,,,,,,,,,,,,,,,
2019-03-22 16:00:00,2019-03-22 16:00,2019,3,22,16:00,,,,,,,,,,,,,,,,,,,
2019-03-22 17:00:00,2019-03-22 17:00,2019,3,22,17:00,,,,,,,,,,,,,,,,,,,
2019-03-22 18:00:00,2019-03-22 18:00,2019,3,22,18:00,,,,,,,,,,,,,,,,,,,
2019-03-22 19:00:00,2019-03-22 19:00,2019,3,22,19:00,,,,,,,,,,,,,,,,,,,
2019-03-22 20:00:00,2019-03-22 20:00,2019,3,22,20:00,,,,,,,,,,,,,,,,,,,
2019-03-22 21:00:00,2019-03-22 21:00,2019,3,22,21:00,,,,,,,,,,,,,,,,,,,
2019-03-22 22:00:00,2019-03-22 22:00,2019,3,22,22:00,,,,,,,,,,,,,,,,,,,
2019-03-22 23:00:00,2019-03-22 23:00,2019,3,22,23:00,,,,,,,,,,,,,,,,,,,
2019-03-23 00:00:00,2019-03-23 00:00,2019,3,23,00:00,,,,,,,,,,,,,,,,,,,
2019-03-23 01:00:00,2019-03-23 01:00,2019,3,23,01:00,,,,,,,,,,,,,,,,,,,
2019-03-23 02:00:00,2019-03-23 02:00,2019,3,23,02:00,,,,,,,,,,,,,,,,,,,
2019-03-23 03:00:00,2019-03-23 03:00,2019,3,23,03:00,,,,,,,,,,,,,,,,,,,
2019-03-23 04:00:00,2019-03-23 04:00,2019,3,23,04:00,,,,,,,,,,,,,,,,,,,
2019-03-23 05:00:00,2019-03-23 05:00,2019,3,23,05:00,,,,,,,,,,,,,,,,,,,
2019-03-23 06:00:00,2019-03-23 06:00,2019,3,23,06:00,,,,,,,,,,,,,,,,,,,
2019-03-23 07:00:00,2019-03-23 07:00,2019,3,23,07:00,,,,,,,,,,,,,,,,,,,
2019-03-23 08:00:00,2019-03-23 08:00,2019,3,23,08:00,,,,,,,,,,,,,,,,,,,
2019-03-23 09:00:00,2019-03-23 09:00,2019,3,23,09:00,,,,,,,,,,,,,,,,,,,
2019-03-23 10:00:00,2019-03-23 10:00,2019,3,23,10:00,,,,,,,,,,,,,,,,,,,
2019-03-23 11:00:00,2019-03-23 11:00,2019,3,23,11:00,,,,,,,,,,,,,,,,,,,
2019-03-23 12:00:00,2019-03-23 12:00,2019,3,23,12:00,,,,,,,,,,,,,,,,,,,
2019-03-23 13:00:00,2019-03-23 13:00,2019,3,23,13:00,,,,,,,,,,,,,,,,,,,
2019-03-23 14:00:00,2019-03-23 14:00,2019,3,23,14:00,,,,,,,,,,,,,,,,,,,
2019-03-23 15:00:00,2019-03-23 15:00,2019,3,23,15:00,,,,,,,,,,,,,,,,,,,
2019-03-23 16:00:00,2019-03-23 16:00,2019,3,23,16:00,,,,,,,,,,,,,,,,,,,
2019-03-23 17:00:00,2019-03-23 17:00,2019,3,23,17:00,,,,,,,,,,,,,,,,,,,
2019-03-23 18:00:00,2019-03-23 18:00,2019,3,23,18:00,,,,,,,,,,,,,,,,,,,
2019-03-23 19:00:00,2019-03-23 19:00,2019,3,23,19:00,,,,,,,,,,,,,,,,,,,
2019-03-23 20:00:00,2019-03-23 20:00,2019,3,23,20:00,,,,,,,,,,,,,,,,,,,
2019-03-23 21:00:00,2019-03-23 21:00,2019,3,23,21:00,,,,,,,,,,,,,,,,,,,
2019-03-23 22:00:00,2019-03-23 22:00,2019,3,23,22:00,,,,,,,,,,,,,,,,,,,
2019-03-23 23:00:00,2019-03-23 23:00,2019,3,23,23:00,,,,,,,,,,,,,,,,,,,
2019-03-24 00:00:00,2019-03-24 00:00,2019,3,24,00:00,,,,,,,,,,,,,,,,,,,
2019-03-24 01:00:00,2019-03-24 01:00,2019,3,24,01:00,,,,,,,,,,,,,,,,,,,
2019-03-24 02:00:00,2019-03-24 02:00,2019,3,24,02:00,,,,,,,,,,,,,,,,,,,
2019-03-24 03:00:00,2019-03-24 03:00,2019,3,24,03:00,,,,,,,,,,,,,,,,,,,
2019-03-24 04:00:00,2019-03-24 04:00,2019,3,24,04:00,,,,,,,,,,,,,,,,,,,
2019-03-24 05:00:00,2019-03-24 05:00,2019,3,24,05:00,,,,,,,,,,,,,,,,,,,
2019-03-24 06:00:00,2019-03-24 06:00,2019,3,24,06:00,,,,,,,,,,,,,,,,,,,
2019-03-24 07:00:00,2019-03-24 07:00,2019,3,24,07:00,,,,,,,,,,,,,,,,,,,
2019-03-24 08:00:00,2019-03-24 08:00,2019,3,24,08:00,,,,,,,,,,,,,,,,,,,
2019-03-24 09:00:00,2019-03-24 09:00,2019,3,24,09:00,,,,,,,,,,,,,,,,,,,
2019-03-24 10:00:00,2019-03-24 10:00,2019,3,24,10:00,,,,,,,,,,,,,,,,,,,
2019-03-24 11:00:00,2019-03-24 11:00,2019,3,24,11:00,,,,,,,,,,,,,,,,,,,
2019-03-24 12:00:00,2019-03-24 12:00,2019,3,24,12:00,,,,,,,,,,,,,,,,,,,
2019-03-24 13:00:00,2019-03-24 13:00,2019,3,24,13:00,,,,,,,,,,,,,,,,,,,
2019-03-24 14:00:00,2019-03-24 14:00,2019,3,24,14:00,,,,,,,,,,,,,,,,,,,
2019-03-24 15:00:00,2019-03-24 15:00,2019,3,24,15:00,,,,,,,,,,,,,,,,,,,
2019-03-24 16:00:00,2019-03-24 16:00,2019,3,24,16:00,,,,,,,,,,,,,,,,,,,
2019-03-24 17:00:00,2019-03-24 17:00,2019,3,24,17:00,,,,,,,,,,,,,,,,,,,
2019-03-24 18:00:00,2019-03-24 18:00,2019,3,24,18:00,,,,,,,,,,,,,,,,,,,
2019-03-24 19:00:00,2019-03-24 19:00,2019,3,24,19:00,,,,,,,,,,,,,,,,,,,
2019-03-24 20:00:00,2019-03-24 20:00,2019,3,24,20:00,,,,,,,,,,,,,,,,,,,
2019-03-24 21:00:00,2019-03-24 21:00,2019,3,24,21:00,,,,,,,,,,,,,,,,,,,
2019-03-24 22:00:00,2019-03-24 22:00,2019,3,24,22:00,,,,,,,,,,,,,,,,,,,
2019-03-24 23:00:00,2019-03-24 23:00,2019,3,24,23:00,,,,,,,,,,,,,,,,,,,
2019-03-25 00:00:00,2019-03-25 00:00,2019,3,25,00:00,,,,,,,,,,,,,,,,,,,
2019-03-25 01:00:00,2019-03-25 01:00,2019,3,25,01:00,,,,,,,,,,,,,,,,,,,
2019-03-25 02:00:00,2019-03-25 02:00,2019,3,25,02:00,,,,,,,,,,,,,,,,,,,
2019-03-25 03:00:00,2019-03-25 03:00,2019,3,25,03:00,,,,,,,,,,,,,,,,,,,
2019-03-25 04:00:00,2019-03-25 04:00,2019,3,25,04:00,,,,,,,,,,,,,,,,,,,
2019-03-25 05:00:00,2019-03-25 05:00,2019,3,25,05:00,,,,,,,,,,,,,,,,,,,
2019-03-25 06:00:00,2019-03-25 06:00,2019,3,25,06:00,,,,,,,,,,,,,,,,,,,
2019-03-25 07:00:00,2019-03-25 07:00,2019,3,25,07:00,,,,,,,,,,,,,,,,,,,
2019-03-25 08:00:00,2019-03-25 08:00,2019,3,25,08:00,,,,,,,,,,,,,,,,,,,
2019-03-25 09:00:00,2019-03-25 09:00,2019,3,25,09:00,,,,,,,,,,,,,,,,,,,
2019-03-25 10:00:00,2019-03-25 10:00,2019,3,25,10:00,,,,,,,,,,,,,,,,,,,
2019-03-25 11:00:00,2019-03-25 11:00,2019,3,25,11:00,,,,,,,,,,,,,,,,,,,
2019-03-25 12:00:00,2019-03-25 12:00,2019,3,25,12:00,,,,,,,,,,,,,,,,,,,
2019-03-25 13:00:00,2019-03-25 13:00,2019,3,25,13:00,,,,,,,,,,,,,,,,,,,
2019-03-25 14:00:00,2019-03-25 14:00,2019,3,25,14:00,,,,,,,,,,,,,,,,,,,
2019-03-25 15:00:00,2019-03-25 15:00,2019,3,25,15:00,,,,,,,,,,,,,,,,,,,
2019-03-25 16:00:00,2019-03-25 16:00,2019,3,25,16:00,,,,,,,,,,,,,,,,,,,
2019-03-25 17:00:00,2019-03-25 17:00,2019,3,25,17:00,,,,,,,,,,,,,,,,,,,
2019-03-25 18:00:00,2019-03-25 18:00,2019,3,25,18:00,,,,,,,,,,,,,,,,,,,
2019-03-25 19:00:00,2019-03-25 19:00,2019,3,25,19:00,,,,,,,,,,,,,,,,,,,
2019-03-25 20:00:00,2019-03-25 20:00,2019,3,25,20:00,,,,,,,,,,,,,,,,,,,
2019-03-25 21:00:00,2019-03-25 21:00,2019,3,25,21:00,,,,,,,,,,,,,,,,,,,
2019-03-25 22:00:00,2019-03-25 22:00,2019,3,25,22:00,,,,,,,,,,,,,,,,,,,
2019-03-25 23:00:00,2019-03-25 23:00,2019,3,25,23:00,,,,,,,,,,,,,,,,,,,
2019-03-26 00:00:00,2019-03-26 00:00,2019,3,26,00:00,,,,,,,,,,,,,,,,,,,
2019-03-26 01:00:00,2019-03-26 01:00,2019,3,26,01:00,,,,,,,,,,,,,,,,,,,
2019-03-26 02:00:00,2019-03-26 02:00,2019,3,26,02:00,,,,,,,,,,,,,,,,,,,
2019-03-26 03:00:00,2019-03-26 03:00,2019,3,26,03:00,,,,,,,,,,,,,,,,,,,
2019-03-26 04:00:00,2019-03-26 04:00,2019,3,26,04:00,,,,,,,,,,,,,,,,,,,
2019-03-26 05:00:00,2019-03-26 05:00,2019,3,26,05:00,,,,,,,,,,,,,,,,,,,
